User_Id,tour_id,tour_rating,place_id,place_rating
175,401,4.3,751,4.5
222,402,2.8,752,4.7
82,403,3.5,753,4.6
242,404,5,754,4.5
180,405,3.2,755,4.3
61,406,4.1,756,4.2
185,407,3.7,757,4.4
195,408,2.9,758,4.5
176,409,4.8,759,4.6
241,410,3.6,760,4.5
33,411,4.4,761,4.4
196,412,3.2,762,4.3
204,413,2.5,763,4.5
105,414,4.9,764,4.8
225,415,4.3,765,4.4
258,416,4.6,766,4.4
62,417,3.4,767,4.4
6,418,2.1,768,4.5
26,419,4.7,769,4.4
133,420,3.1,770,4.1
153,421,4.2,771,4.5
113,422,3.6,772,4.6
200,423,2.7,773,4.3
188,424,4.5,774,4.4
268,425,3.4,775,4.5
45,426,4,776,4.6
122,427,3.9,777,4.3
286,428,2.3,778,4.4
130,429,4.9,779,4.5
226,430,2.7,780,4.4
31,431,4.3,781,4.5
172,432,3.8,782,4.4
228,433,2.6,783,4.8
235,434,4.8,784,4.5
274,435,2.5,785,4.4
40,436,4.5,786,4.5
64,437,3.1,787,4.4
22,438,2.4,788,4.5
273,439,4.6,789,4.3
28,440,3,790,4.5
98,441,4.1,791,4.7
144,442,3.7,792,4.4
265,443,2.8,793,4.5
39,444,4.7,794,4.3
126,445,2.2,795,4.6
166,446,4.4,796,4.4
287,447,3.5,797,4.4
179,448,2.9,798,4.3
152,449,4.8,799,4.3
248,450,3.3,800,4.5
54,451,4.2,751,4.5
14,452,3.6,752,4.7
240,453,2.7,753,4.6
56,454,4.5,754,4.5
100,455,4.4,755,4.3
85,456,4,756,4.2
116,457,3.9,757,4.4
294,458,2.1,758,4.5
32,459,4.9,759,4.6
106,460,2.6,760,4.5
249,461,4.3,761,4.4
21,462,3.8,762,4.3
155,463,2.5,763,4.5
143,464,4.6,764,4.8
41,465,2.1,765,4.4
140,466,4.4,766,4.4
214,467,3.7,767,4.4
79,468,2.3,768,4.5
142,469,4.7,769,4.4
38,470,2.5,770,4.1
234,471,4.1,771,4.5
5,472,3.6,772,4.6
207,473,2.4,773,4.3
42,474,4.8,774,4.4
261,475,3,775,4.5
279,476,4.2,776,4.6
247,477,3.5,777,4.3
121,478,2.8,778,4.4
213,479,4.5,779,4.5
169,480,2.2,780,4.4
246,481,4,781,4.5
53,482,3.9,782,4.4
148,483,2.6,783,4.8
4,484,4.9,784,4.5
194,485,2.3,785,4.4
94,486,4.3,786,4.5
84,487,3.8,787,4.4
132,488,2.7,788,4.5
46,489,4.6,789,4.3
203,490,2.4,790,4.5
78,491,4.4,791,4.7
149,492,3.7,792,4.4
206,493,2.9,793,4.5
150,494,4.8,794,4.3
74,495,2.1,795,4.6
71,496,4.2,796,4.4
124,497,3.6,797,4.4
280,498,2.5,798,4.3
212,499,4.7,799,4.3
224,500,2.5,800,4.5
67,401,4.3,751,4.5
119,402,2.8,752,4.7
284,403,3.5,753,4.6
244,404,5,754,4.5
102,405,3.2,755,4.3
201,406,4.1,756,4.2
238,407,3.7,757,4.4
292,408,2.9,758,4.5
43,409,4.8,759,4.6
57,410,3.6,760,4.5
76,411,4.4,761,4.4
63,412,3.2,762,4.3
215,413,2.5,763,4.5
192,414,4.9,764,4.8
243,415,4.3,765,4.4
156,416,4.6,766,4.4
218,417,3.4,767,4.4
178,418,2.1,768,4.5
189,419,4.7,769,4.4
182,420,3.1,770,4.1
9,421,4.2,771,4.5
